iter	Logloss
252	0.5824313592
253	0.5820547321
254	0.5817310082
255	0.5814095686
256	0.5811438646
257	0.5809089067
258	0.5805476754
259	0.5801904644
260	0.5798268575
261	0.5794588192
262	0.579151816
263	0.5789507106
264	0.5786197228
265	0.5782683138
266	0.577936321
267	0.577559237
268	0.5772277467
269	0.576916312
270	0.5765579589
271	0.5762738439
272	0.5759942974
273	0.5756213708
274	0.5752603679
275	0.5749207457
276	0.5745835447
277	0.5742750339
278	0.5739828327
279	0.5736794386
280	0.5732945425
281	0.5730999244
282	0.572848931
283	0.5725520699
284	0.5722141837
285	0.5718116075
286	0.571511183
287	0.5711728399
288	0.5708932934
289	0.5706638176
290	0.5704756868
291	0.5701462066
292	0.5698214777
293	0.5696342605
294	0.5692859581
295	0.569039716
296	0.5687171342
297	0.5683920398
298	0.568126016
299	0.567840165
300	0.5676460495
301	0.5673159297
302	0.5670247335
303	0.5667051213
304	0.5663454433
305	0.5660197092
306	0.5656701276
307	0.5654618497
308	0.5652314603
309	0.5649206196
310	0.564741306
311	0.5645007288
312	0.564294461
313	0.5640765436
314	0.5637556978
315	0.5634176289
316	0.563099844
317	0.5627778562
318	0.5625419388
319	0.5622001237
320	0.5619394451
321	0.5616583453
322	0.5613798496
323	0.5610923539
324	0.5608289342
325	0.5604712663
326	0.5601548064
327	0.5599142292
328	0.5595165413
329	0.5592332029
330	0.5589529254
331	0.5586553791
332	0.5584303805
333	0.558146768
334	0.5578688205
335	0.557608416
336	0.5572999509
337	0.5570318256
338	0.5567091525
339	0.5563770226
340	0.5561506534
341	0.5558627922
342	0.5556365601
343	0.5553434909
344	0.5550601982
345	0.5548076972
346	0.5545303436
347	0.5541911782
348	0.5538867791
349	0.55358005
350	0.5532696661
351	0.5529911247
352	0.5526674008
353	0.552301601
354	0.552024156
355	0.5517481273
356	0.5514842051
357	0.5511914099
358	0.5509647209
359	0.5506667177
360	0.5504570693
361	0.5501717208
362	0.5499174838
363	0.549618978
364	0.54946205
365	0.5492000009
366	0.5489011296
367	0.5486675879
368	0.548384615
369	0.5481075812
370	0.5478960597
371	0.5475774525
372	0.5473604031
373	0.547096892
374	0.5468431576
375	0.5465524182
376	0.5463344551
377	0.5460554568
378	0.545785961
379	0.5454184709
380	0.5452675734
381	0.5449834584
382	0.5446823029
383	0.5444211217
384	0.5441603061
385	0.5439023229
386	0.5436131826
387	0.5432891846
388	0.5430059376
389	0.5426943659
390	0.5424552506
391	0.5423084191
392	0.5420535425
393	0.5418161175
394	0.5416082965
395	0.5413501305
396	0.5411736494
397	0.5409543157
398	0.5407433424
399	0.5404874607
400	0.5402991929
401	0.5400605344
402	0.5398062974
403	0.5397428867
404	0.5395014415
405	0.5391971794
406	0.5390065359
407	0.5387176696
408	0.5385628889
409	0.5382863576
410	0.5380380596
411	0.5378012286
412	0.5376037324
413	0.5373415462
414	0.5370908269
415	0.536849336
416	0.536577693
417	0.5364191204
418	0.53622135
419	0.5360272802
420	0.5358575147
421	0.5356766935
422	0.53537901
423	0.5351606358
424	0.534898678
425	0.5347065269
426	0.5344774623
427	0.5342012965
428	0.534066343
429	0.5338115578
430	0.5335527066
431	0.5333090228
432	0.5330451463
433	0.5327962544
434	0.5325079821
435	0.5322104814
436	0.531932808
437	0.531716124
438	0.5314467196
439	0.5312126754
440	0.53097822
441	0.5307032876
442	0.530411863
443	0.5302142297
444	0.5300845757
445	0.5299095108
446	0.5296822736
447	0.5294364884
448	0.5292081547
449	0.5289757095
450	0.5287883096
451	0.5285860164
452	0.5284068399
453	0.528160278
454	0.5279308479
455	0.527706032
456	0.5274526173
457	0.5271644364
458	0.5269096055
459	0.5267224797
460	0.5265982622
461	0.5263313705
462	0.5261264276
463	0.5259546977
464	0.5257723688
465	0.5255373195
466	0.5253235594
467	0.5251120379
468	0.5249003336
469	0.5247666593
470	0.5245405186
471	0.5243482761
472	0.5241871451
473	0.5239332736
474	0.523702473
475	0.5234533527
476	0.5231920802
477	0.5229814724
478	0.5227853924
479	0.5225729571
480	0.5223592427
481	0.5221372136
482	0.5219035348
483	0.5216741962
484	0.5214289134
485	0.5211863261
486	0.5209466626
487	0.5208141304
488	0.5205150307
489	0.5203126462
490	0.5201007592
491	0.5198934407
492	0.5196182342
493	0.5193938295
494	0.5191791557
495	0.5189775478
496	0.5187664831
497	0.5185537738
498	0.518420602
499	0.5182057455
